Market,Code,Company Name,Place of Incorporation of Foreign Companies,Industry,Symbol,Date of Listing,Chairman,General Manager,Spokesman,Title of Spokesman,Fiscal Year_end,Accounting Firm,CPA (Chartered Public Accountant)1,CPA (Chartered Public Accountant)2,Address,Telephone,Fax,Email Address,Web Address,Investor Relations Contact Person,Title of IR Contact Person,Telephone of IR Contact Person,Email Address of IR Contact Person
Emerging Stocks,4194,"Holy Stone Healthcare Co., Ltd.",－,Biotechnology and Medical Care,HSHC,2013/12/13,Tang Jing-Rong,Yang Chin- Hua,Chen Yu-CHIH,Director of BD& Regulatory Affairs Division,DEC 31,KPMG Taiwan,"Chen,Pei-Chi","Yu,Chi-Lung","4F, No. 88, Sec. 1, Neihu Rd., Neihu Dist., Taipei, Taiwan, R.O.C.",0287975966,0226279729,raymondyang@hshc.com.tw,www.hshc.com.tw,－,－,－,－
Emerging Stocks,4195,"Genomics BioSci & Tech. Co.,Ltd.",－,Biotechnology and Medical Care,Genomics,2013/12/16,Joseph Chow,Kevin Chiang,-,-,DEC 31,Deloitte Touche Tohmatsu Limited,,,"14F.,No.100,Sec.1,Xintai 5th Rd.,Xizhi Dist.,New Taipei City 221 . Taipei Taiwan",2696-1658,2696-1589,ir@genomics.com.tw,www.genomics.com.tw,－,－,－,－
Emerging Stocks,4197,Visgeneer Inc.,－,Biotechnology and Medical Care,VIS,2013/10/24,Ken-Shwo Dai,Ken-Shwo Dai,bobo,CFO,DEC 31,Deloitte&Touche,ShuLin Liu,Oscar Shih,"No.335, Sec. 6, Zhonghua Rd., Hsinchu City 30094, Taiwan",(03)518-1918,(03)518-1908,ir@visgeneer.com.tw,http://www.visgeneer.com.tw,－,－,－,－
Emerging Stocks,4431,"Mytrex Health Technologies, Inc.",－,Other,Mytrex Health,2011/08/30,Fred Yang,KC Yang,Maggie Lin,General Manager,DEC 31,KPMG,Astor Kou,Sinney Kuo,"No.545, Sec. 2, Hezun N. Rd. Zhongli Dist., Taoyuan City , Taiwan",03-4631317,03-4638346,4431@mytrex-health.com,https://www.mytrex-health.com/,－,－,－,－
Emerging Stocks,4441,"GREAT GIANT FIBRE GARMENT CO., LTD.",－,Textiles,GGF,2022/01/26,HSU KUNG JEN,LEE CHAO HSIEN,LEE CHE YU,Chief Strategy Officer,DEC 31,KPMG Certified Public Accountants,YANG SHU CHIH,LIN HENG SHEN,"4F., No. 73, Fuxing N. Rd., Songshan Dist. Taipei City , Taiwan (R.O.C.)",02-2721-7588,02-2740-2379,ir@greatg.com.tw,https://www.greatg.com.tw,－,－,－,－
Emerging Stocks,4537,"SHUZ TUNG MACHINERY INDUSTRIAL CO., LTD.",－,Optoelectronic,STMC,2012/05/03,CHUANG TIEN TSAI,HUANG QI-SHAN,"LU, HAI LIN",Finance manager,DEC 31,KPMG,"Chen, Yan-hui","CHEN,ZHENG-XUE","No.30, Houke S. Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.) Taichuang,Taiwan",04-25561000,04-25561889,stmc@shuztung.com.tw,http://www.wisepioneer.com.tw,－,－,－,－
Emerging Stocks,4544,"Chun Zu Machinery Industry CO.,LTD",－,Electric Machinery,Chun Zu,2012/12/24,WONG CHUNG CHUN,CHIA WU CHIEN,CHIA WU CHIEN,General Manager,DEC 31,PricewaterhouseCoopers Taiwan,Hsu Huei Yu,Tien Chung Yu,"No. 50, Dabao St., Gangshan Dist. Kaohsiung City, Taiwan (R.O.C.)",07-6212196,07-6221718,chunzu@ms9.hinet.net,www.chunzu.com.tw,－,－,－,－
Emerging Stocks,4546,"CHAHENG PRECISION CO., LTD.",－,Electric Machinery,CHPC,2013/07/30,Chi I Chen,Chi I Chen,LI SHU LING,Accounting Supervisor,DEC 31,Deloitte&Touche,Hsu Juihsuan,Yang Chaochin,"NO.9, LUKE 10TH RD., LUZHU DIST KAOHSIUNG CITY 821, TAIWAN (R.O.C.)",07-6955598,07-6955589,chpc@chaheng.com,www.chaheng.com,－,－,－,－
Emerging Stocks,4553,"ALFOT Technologies Co.,Ltd",－,Electric Machinery,ALFOT,2014/09/16,Liao Shu Yuan,Louis Lu,Ho Chung Hsien,CFO,DEC 31,Crowe Horwath (TW) CPAs,LIN MING SHOU,HUANG CHIEN CHEN,"No.8,19th Rd.,Taichung Industrial Park, Taichung 40850,Taiwan",(04)23592768,(04)23593570,info@alfot.com,http://www.alfot.com,－,－,－,－
Emerging Stocks,4559,"Joy Industrial Co., Ltd",－,Sports and Leisure,Joy-tech,2014/12/08,CHEN SHIHWEI,JEFF CHEN,Ivy,Chief Finance Officer,DEC 31,PricewaterhouseCoopers Taiwan,"HSU,CHIEN-YEH",Chih-Wei Lai,"No. 9, Lane 462, Sec. 4 Chang-Ping Rd. Daya-Taichung, Taiwan,",(04)2566-8888,(04)2566-1185,acc@joy-tech.com.tw,http://www.joy-tech.com.tw,－,－,－,－
Emerging Stocks,4565,"HONG-WEI ELECTRICAL INDUSTRY & CO., LTD.",－,Electric Machinery,Hong-Wei,2016/10/05,"HUANG,YEN-CHEN","CHEN,HSIEN-TANG","CHENG,LONG-CHIA",Manager,DEC 31,Deloitte & Touche,"Qiu, Yong-Ming","Chen, Wen-Xiang","No.33, Wuquan 5th Rd., Wugu Dist., New Taipei City 248, Taiwan (R.O.C.)",(02)22993348,(02)22990676,ir@volbin.com,http://www.volbin.com,－,－,－,－
Emerging Stocks,4570,"JASON CO.,LTD",－,Electric Machinery,JASON,2024/03/14,Chuang Yao Huimr,Chuang Chan Rui,Johnson,Vice President,DEC 31,Deloitte,Chao C. Wang,Kuo Lee Yuan,"No.3-35,Zhonghe Rd.,Ligang Shiang, Pintung County 905,Taiwan(R.O.C)",08-7733899,08-7734415,ritahuang@baw.com.tw,www.baw-auto.com.tw,－,－,－,－
Emerging Stocks,4573,GMT GLOBAL INC.,－,Electric Machinery,GMT,2018/07/26,CHEN CHIN HSIN,CHEN CHIN HSIN,CHEN CHIN HSIN,Chairman and General manager,DEC 31,Deloitte & Touche,SU TING CHIEN,WU SHAO CHUN,"No. 357, Sec. 1, Yaofeng Rd., Puxin Township, Changhua County, Taiwan",04-8282825,04-8285215,IR@gmt.tw,https://www.gmtglobalinc.com,－,－,－,－
Emerging Stocks,4575,CHUMPOWER MACHINERY CORPORATION,－,Electric Machinery,CHUMPOWER,2018/11/19,"HSIEH,SHU-LIN","HSIEH,SHU-LIN",Chun Chi Lin,Chief Financial Officer,DEC 31,Ernst & Young,"Lo, Wen-Chen",Huang Tzu Ping,"No. 688-1, Sec. 3, Zhong-shan Rd., Taichung 414, Taiwan",04-23388289,04-23372285,cpulations@chumpower.com,https://www.chumpower.com,－,－,－,－
Emerging Stocks,4582,"HENGS TECHNOLOGY CO., LTD.",－,Green Energy and Environmental Services,HENGS,2019/09/30,Victor Chow,Xiaoyan Zhou,Xiaoyan Zhou,Sales Vice President,DEC 31,"PricewaterhouseCoopers, Taiwan",Chung-Yu Tien,Tzu-Yu Lin,"No.168, Yongkehuan Rd., Yongkang Dist., Tainan City 71041, Taiwan (R.O.C.)",06-2022202,06-2012520,angel13@hengs.com,https://www.hengs.com,－,－,－,－
Emerging Stocks,4585,TECHMAN ROBOT INC.,－,Other Electronic,TRI,2024/09/26,"HO, SHI-CHI","CHEN,SHANG-HAO","WANG,WEI-LIN",Chief Financial Officer,DEC 31,KPMG Certified Public Accountants,"LIEN,SHU-LING","CHEN,YI-CHUN","5F.NO.58-2, Huaya 2nd Rd., Guishan Dist., Taoyuan City 33383, Taiwan,R.O.C.",03-3288350,03-327-7220,ir@tm-robot.com,www.tm-robot.com,－,－,－,－
Emerging Stocks,4587,"LNC Technology Co., LTD",－,Electric Machinery,LNC,2022/07/27,Lun-Yu Kuo,Lun-Yu Kuo,Jia-Ying Lin,Director of Administrative Management Departm,DEC 31,Deloitte Touche Tohmatsu Limited,Chun-Yu Wang,Ching-Hisa Chang,"6F, No. 633, Sec. 2, Taiwan Blvd., Xitun Dist., Taichung City, Taiwan (R.O.C.)",04-23106859,04-23105936,investor@LNC.com.tw,https://www.LNC.com.tw/,－,－,－,－
Emerging Stocks,4589,"Motion Technology Electric & Machinery Co.,",－,Electric Machinery,MTM,2023/04/27,"LIN, MING-CHANG","LIN, MING-CHANG","WANG, CHIEN-HSIU",CFO,DEC 31,Ernst & Young,"CHENG, CHING-PIAO","CHEN, KUO-SHUAI","No. 72, Ln. 76, Neiding 20th St., Zhongli Dist., Taoyuan City 320 , Taiwan",03-4623456,03-4331349,ir@motiontech-mtm.com,https://www.motiontech-mtm.com/,－,－,－,－
Emerging Stocks,4590,"FUKUTA ELECTRIC & MACHINERY CO., LTD.",－,Electric Machinery,FUKUTA,2024/11/11,Gordon Chang,Gordon Chang,ZD Lin,Vice General Manager,DEC 31,Deloitte & Touche,"Wang, Chao Chun","Hsu, Jui-Hsuan","No 6. Tongke 6th Road., Tongluo Township, Miaoli County 366, Taiwan (R.O.C.) Miaoli County, Taiwan",037-980799,037-980811,fukuta@fukuta-motor.com.tw,https://www.fukuta-motor.com.tw/,－,－,－,－
Emerging Stocks,4724,"MERIBANK BIOTECH CO., LTD",－,Biotechnology and Medical Care,MERIBANKBIOTECH,2023/06/16,"HSUAN,CHANG-YO","TSAI, CHIEN FANG","TSAI, CHIEN FANG",Vice President,DEC 31,PRICEWATERHOUSECOOPERS,"WU,JEN-CHIEH","LIN,YA-HUI","1F., No.68, Sec. 1, Neihu Rd., Neihu Dist. Taipei City 11493, Taiwan (R.O.C.)",02-89787777,02-89787666,IR@meribank.com.tw,http://www.meribank.com.tw,－,－,－,－
Emerging Stocks,4732,NatureWise Biotech & Medicals Corporation,－,Biotechnology and Medical Care,NBM,2007/12/25,Huang chung yang,Huang chung yang is temporarily acting for VP,Peter Lin,Vice President of Sales,DEC 31,PricewaterhouseCoopers,"Teng, Sheng-Wei","Yen,Yu-Fun","6F., No.36, Sec. 3, Bade Rd., Songshan Dist., Taipei City 105, Taiwan",(02)2570-6300,(02)2570-6108,info@naturewise.com.tw,https://www.naturewiseppls.com/,－,－,－,－
Emerging Stocks,4738,TATUNG FINE CHEMICALS CO.,－,Chemical,TFC,2009/09/09,Yung -Tsung Wu,Yung -Tsung Wu,Hsu-Hui Chen,Chief financial officer,DEC 31,KPMG,Yin Yuan-Sheng,Wu Lin,"22 Chungshan North Road, 3rd Sec. Taipei, Taiwan, R.O.C",(03)4830321,(03)4830082,tfc@twtfc.com,http://www.twtfc.com,－,－,－,－
Emerging Stocks,4765,"PANCOLOUR INK CO., LTD.",－,Chemical,PANCOLOUR,2016/12/05,Jess Lee,Wen Chang Shen,Jess Lee,President,DEC 31,Deloitte & Touche,"Chen, Wen Hsiang","Huang,Yi-Min","No.72-1, Wenming Rd., Gueishan Dist. Taoyuan City 33382, Taiwan, R.O.C.",03-327-0177,03-327-0180,finance@pancolourink.com,http://www.pancolourink.com,－,－,－,－
Emerging Stocks,4773,Kaofu Chemical Corporation,－,Chemical,Kaofu,2022/06/22,"CHUNG,YU-LIN",LEE CHUNG-HSI,LEE CHUNG-HSI,General manager,DEC 31,PricewaterhouseCoopers Taiwan,A-Shen Liao,Chien-Chih Wu,"NO385,FONG-JEN ROAD, REN WU DIST. KAOHSIUNG CITY, TAIWAN,R.O.C.",073711506,073711507,service@kfcorp.com.tw,http://www.kaofu.com/,－,－,－,－
Emerging Stocks,4925,JMicron Technology Corp.,－,Semiconductor,JMicron,2010/10/28,Tim Liu,Tim Liu,Mark Wen,Vice President,DEC 31,Diwan & Company,Samuel Lu,Eugene Hou,"Rm. 3, 5F., No. 8, Keyan Rd., Hsinchu Science Park Hsinchu,Taiwan,R.O.C.",886-3-5797389,886-3-5799566,jmstock@jmicron.com,www.jmicron.com,－,－,－,－
Emerging Stocks,4980,JORJIN TECHNOLOGIES INC.,－,Electronic Parts/Components,JORJIN,2010/11/16,Liang Wen Lung,Wang Shiann Jang,Lin Ya Wen,Management Director,DEC 31,Deloitte & Touche,"Chih, Jui Chuan","Kuo, Nai Hua","17F-1, No.239, Sec. 1, Datong Rd., Xizhi Dist., New Taipei City 22161, Taiwan, R.O.C.",(02)2649-0055,(02)2642-5477,public@jorjin.com,http://www.jorjin.com,－,－,－,－
Emerging Stocks,5240,ACTi Corporation,－,Optoelectronic,ACTi,2011/06/22,Juber Chu,Jesse Kuo,Jesse Kuo,GM,DEC 31,PricewaterhouseCoopers Taiwan,"Huang, Pei-Chuan","Lin, Yung-Chih","7F., No.1, Alley 20, Lane 407, Sec.2, Tiding Blvd Neihu District, Taipei 114, Taiwan, ROC",(02)2656-2588,(02)2656-2599,IR@acti.com,http://www.acti.com,－,－,－,－
Emerging Stocks,5246,"ProbeLeader Co.,Ltd.",－,Semiconductor,PL,2022/11/03,Scott Lin,Jack Lai,Jack Lai,General Manager,DEC 31,PricewaterhouseCoopers Taiwan,Daniel Lee,Jerry Chiang,"No. 16, JinShui Street, Hsin Chu,Taiwan, R. O. C.",(03)530-2300,(03)530-5156,andy_chang@probeleader.com.tw,http://www.probeleader.com.tw,－,－,－,－
Emerging Stocks,5248,Pixon Technologies Corporation,－,Optoelectronic,PIXON,2011/09/06,OUNG SHIH-HOW,Jimmy Yen,Jimmy Yen,General Manager,DEC 31,KPMG,Allen Kuo,Eponine Hsieh,"9F., No.52, Minquan Rd. Xindian Dist., New Taipei City, Taiwan",29189820,29189823,stock@pixon.com.tw,www.pixon.com.tw,－,－,－,－
Emerging Stocks,5254,"CEN LINK CO.,LTD.",－,Electronic Parts/Components,CENLINK,2019/01/08,Morgan Cheng,Ben Shiue,Eric Huang,Vice President,DEC 31,KPMG,May Huang,Archie Cheng,"10F,No.173,Sec.2,Ta Tung Road, Hsi Chih District. New Taipei City,Taiwan, R.O.C.",02-86926267,02-86926265,sung@cenlink.com.tw,http://www.cenlink.com.tw,－,－,－,－
Emerging Stocks,5262,Gigastone Corporation,－,Semiconductor,GST,2013/10/21,Michael Wang,Tim Liu,Thomas,Vice General Manager,DEC 31,KPMG,Leona Hsu,Lilian Kao,"4F., No. 166, Xinhu 2nd Rd., Neihu District Taipei City 114,Taiwan (R.O.C)",02-26582588,02-26582015,investor@gigastone.com.tw,www.gigastone.com,－,－,－,－
Emerging Stocks,5267,"LUNG PIEN VACUUM INDUSTRY CO., LTD.",－,Optoelectronic,LUNG PIEN,2012/02/24,"LORD JI INVESTMENT CO.,LTD.",CHEN CHING LUNG,YANG CHI HSIANG,Chairman,DEC 31,Ernst & Young,"HUANG,CHING-YA","Huang, Tzu-Ping","No.2 DATONG RD.,C.E.P.Z. WU-CHI TAICHUNG,TAIWAN",(04)26595018,(04)26595012,service@lp-vacuum.com.tw,http://www.lp-vacuum.com,－,－,－,－
Emerging Stocks,5271,"HORNG TONG ENTERPRISE CO.,LTD",－,Electronic Parts/Components,HORNG TONG,2012/03/06,Lee Tung Hsing,Sean Lin,Sean.Chen,Chief financial Officer,DEC 31,Ernst & Young,JamesCW Lin,KuoShuai Chen,"3F Unit 7-8,Zhong-Xing Road,Section 1 Wugo Dist, New Taipei City,Taiwan",89769168,89769169,Rain.lin@hometom.com.tw,http://www.hometom.com.tw,－,－,－,－
Emerging Stocks,5297,"3S Silicon Tech., Inc.",－,Semiconductor,3S,2017/02/21,W. J. Chang,Cynthia Lu,Cynthia Lu,President,DEC 31,pwc,Shu-Chian Bai,Daniel.lee,"3F, 169-2, Sec. 1, Kangle Road, Xinfeng Township, Hsinchu County, Taiwan, R.O.C.",(03)5577668,(03)5577658,jane.lo@sss-tech.com.tw,www.sss-tech.com.tw,－,－,－,－
Emerging Stocks,5547,"Jioushun Construction Co., Ltd.",－,Building Material and Construction,Jioushun,2020/01/10,"LIN, SHIH-CHEN","TSAI, CHANG-LUNG","TSAI, CHANG-LUNG",General Manager,DEC 31,KPMG,"CHANG, SHU-YING","HAN, YI-LIEN","2F., No. 257, Xinhu 2nd Rd. Neihu Dist., Taipei City 11494, Taiwan",02-27965218,02-27965219,invest@jioushun.com.tw,http://www.jioushun.com.tw,－,－,－,－
Emerging Stocks,5859,"FARGLORY LIFE INSURANCE CO., LTD.",－,Financial and Insurance,FGLIFE,2015/04/16,Meng Chia Ren,Chao Hsueh Hsin,Chao Hsueh Hsin,General Manager,DEC 31,KPMG,Eponine Hsieh,Grinni Hsiao,"28F., No.1, Songgao Rd Taipei, Taiwan",27583099,27253084,fglife@fglife.com.tw,www.fglife.com.tw,－,－,－,－
Emerging Stocks,5863,TAIPEI STAR BANK,－,Financial and Insurance,TSB,2007/12/03,"CHUAN-PU,KUO",CHEN JUI CHANG,Wu Hung Yi,Senior Vice President,DEC 31,Deloitte&Touche,"Shyu, Wen-yea","Chen, Wen-Hsiang","No.133,sec.2,Yanping N.Rd. Datong District,Taipei City 103,Taiwan",(02)25575151,(02)25573636,fcc9008@taipeistarbank.com.tw,https://www.taipeistarbank.com.tw,－,－,－,－
Emerging Stocks,6027,"RELIANCE SECURITIES CO.,LTD.",－,Financial and Insurance,RSC,2015/11/02,"HO, CHIA-YU",Walter Chang,cchien_chang,Assistant Vice President,DEC 31,Ernst & Young,HungBin.Yang,Henry Liu,"World Trade Building 3rd F1.,No.50,Sec.1,Hsin-Sheng.S.Rd, Taipei Taiwan",(02)23939988,(02)23567722,service@mail.rsc.com.tw,http://www.rsc.com.tw,－,－,－,－
Emerging Stocks,6028,"Golden Insurance Brokers Co.,Ltd.",－,Financial and Insurance,GIBC,2019/03/06,"TSAI,SHENG-WEI","CHEN,DE-CHENG",Sigga Kuo,Assistant Vice President,DEC 31,PricewaterhouseCoopers Taiwan,"WANG, KUO-HUA","LIAO, A-SHE","Rm. 4, 4F., No.93, Dashun 1st Rd., Zuoying Dist. Kaohsiung City 813, Taiwan( R.O.C.)",(07)556-1471,(07)558-4698,golden@mail.goldennet.com.tw,http://www.goldennet.com.tw/,－,－,－,－
Emerging Stocks,6035,EASYCARD Corporation,－,Financial and Insurance,EASYCARD,2023/01/03,Lin Zhi Ying,"CHEN,GUO-JYUN",Li Zhi Ren,Sr. Vice President,DEC 31,Klynveld Peat Marwick Goerdeler,Yin Yuan Sheng,Wu Lin,"13th Floor, No. 3, No. 1, Yuanyuan Street, Nangang District Taipei City , Taiwan",02-2652-9988,02-2652-9999,eccir@easycard.com.tw,https://www.easycard.com.tw,－,－,－,－
Emerging Stocks,6272,"WIESON TECHNOLOGIES CO., LTD.",－,Electronic Parts/Components,WIESON,2002/12/24,CHEN HUNG CHIN,CHEN CHENG-HUANG,CHEN CHENG HUANG,GENERAL MANAGER,DEC 31,DELOITTE,"CHIH, JUI-CHUAN","HSIEH, CHIEN-HSIN","15F.-1, NO.237, SEC.1, Datong RD. New Taipei City,Taiwan(R.O.C.)",02-26471896,02-26476342,service@wieson.com,www.wieson.com,－,－,－,－
Emerging Stocks,6403,AcSiP Technology Corp.,－,Communications and Internet,AcSiP,2012/10/26,Yi-Hua Chung,Yi-Hua Chung,Sara Cheng,Assistant manager,DEC 31,KPMG International Limited,Jhao-Wun Jhang,Hsin-Yi Kuo,"9F., No.242, Bo'ai st., Shulin Dist., New Taipei City 238005, Taiwan",02-86859877,02-86859577,IR@acsip.com.tw,http://www.acsip.com.tw,－,－,－,－
Emerging Stocks,6407,Mutual-Tek Industries Co. Ltd,－,Electronic Parts/Components,Mutual-Tek,2013/03/29,Chen Hsu-Tung,Eric Chang,Bird Lin,SENIOR MANAGER,DEC 31,Deloitte & Touche,"SU,YU-SIOU","WANG,PAN-FA","No.25, Ln. 195, Huacheng Rd., Xinzhuang Dist. New Taipei City 242, Taiwan (R.O.C.)",02-22763210,02-29922374,birdlin@mutualtek.com.tw,http://www.mutualtek.com.tw,－,－,－,－
Emerging Stocks,6428,"TAIWAN TAOMEE CO.,LTD",－,Cultural and Creative Industries,TAOMEE,2013/09/11,WANG CHIN PO,JOHNSON,JOHNSON,GENERAL MANAGER,DEC 31,Deloitte&Touche,"HSIEH, TUNG-JU","MA, WEI-CHUN","Rm. 1, 6F., No. 237, Songjiang Rd. Taipei City , Taiwan.,ROC",2516-1331,2516-1332,taomee_ir@61.com.tw,http://www.61.com.tw/investors/,－,－,－,－
Emerging Stocks,6434,TacBright Optronics Corporation,－,Optoelectronic,TacBright,2013/11/12,Huoo Tzau Shih,WU CHING WANG,Huoo Tzau Shih,Chairman,DEC 31,Deloitte & Touche,"Chen, Wen-Hsiang",Chris Chiu,"No. 3, Kebei 2nd Rd. Jhunan Township Miaoli County, Taiwan",037-587-500,037-587-566,spig@tacbright.com,www.tacbright.com,－,－,－,－
Emerging Stocks,6467,TAHO Pharmaceuticals Ltd.,－,Biotechnology and Medical Care,TAHO Pharma,2024/12/30,Howard Lee,Howard Lee,Howard Lee,Chairman and General manager,DEC 31,PricewaterhouseCoopers Taiwan,Yu-Fun Yen,Chien-Yu Liu,"3F, No.550, Ruiguang Road, Taipei 114, Taiwan",02-26598515,02-26598516,ir@tahopharma.com,www.tahopharma.com,－,－,－,－
Emerging Stocks,6473,"meimaii Technology Co., Ltd",－,Digital and Cloud Services,meimaii,2014/12/08,"LEU, BOR-HONG","LEU, BOR-HONG",FENG SHIN WEN,Executive Vice President,DEC 31,KPMG Taiwan,"WANG, I-WEN","HSIN,YU-TING","12F., No. 51, Sec. 3, Minsheng E. Rd., Zhongshan Dist., Taipei City 104483 , Taiwan (R.O.C.)",02-29126473,02-23819066,6473@meimaii.com,www.meimaii.com,－,－,－,－
Emerging Stocks,6474,WFE TECHNOLOGY CORP.,－,Electronic Products Distribution,WFE,2018/02/01,LIEN CHIN MIN,HUANG PING SHUN,TSAI WU AN,FINANCIAL DIRECTOR,DEC 31,Member of Deloitte Touche Tohmatsu,EDDY SU,ROCK TSENG,"4F-8.NO.238.CHIN HUA N. RD.,N. DIST. TAICHUNG CITY , TAIWAN",04-24622560,04-24622285,ir@wfe.com.tw,http:// www.wfe.com.tw,－,－,－,－
Emerging Stocks,6483,"Original BioMedicals Co., Ltd.",－,Biotechnology and Medical Care,OBM,2024/03/29,"Po-Yu,Lin","WANG, CHAU-HUI",Hsiao-Pao,Chief Operating Officer,DEC 31,Deloitte & Touche,Lou Liao,Vincent Wang,"2F.-1, No.9, Nanke 2nd Rd., Xinshi Dist.,Tainan City 74146,Taiwan",(06)5055433,(06)5050085,info@i-obm.com,http://www.i-obm.com,－,－,－,－
Emerging Stocks,6493,TTBIO CORP.,－,Biotechnology and Medical Care,TTBIO,2015/01/08,Kwan-Ju Chen,Gene Su,Chun-Hsien Li,R&D Manager,DEC 31,Crowe (TW) CPAs,TSAI-SHU MAN,LEE-CHING LING,"2F,NO.7,6TH ROAD,INDUSTRY PARK TAICHUNG,TAIWAN R.O.C",0423595958,0423591902,info@ttbio.com,www.ttbio.com,－,－,－,－
Emerging Stocks,6518,"Concord Medical Co., Ltd.",－,Biotechnology and Medical Care,Concordmed,2015/05/13,Ching Yi Liu,Larry Lin,Frank Liu,Director of management,DEC 31,Klynveld Peat Marwick Goerdeler,Leona Hsu,Philip Tang,"12F., No.266, Sec. 1, Wenhua Rd., Banqiao Dist. New Taipei City, Taiwan (ROC)",02-22545079,02-22512600,service@concordmed.com.tw,http://www.concordmed.com.tw,－,－,－,－
Emerging Stocks,6536,TIGA GAMING INC.,－,Information Service,TIGA,2015/06/18,"Hsu, Ming Jer","Hsu, Ming Jer","Hsu, Ming Jer",Chairman,DEC 31,PricewaterhouseCoopers (PwC) Taiwan,"Chih, Ping-Chiun","Lai, Chung-Hsi","11F, No.75, Sec. 1 Hsin Tai Wu Rd., Xizhi Dist., New Taipei City, Taiwan R. O. C.",(02)2698-2786,(02)2698-8132,sonia.yeh@tigagaming.com,http://www.tigagaming.com/,－,－,－,－
Emerging Stocks,6539,"DV Biomed CO., LTD.",－,Biotechnology and Medical Care,DV,2015/10/15,Ariel Chang,Sammi Chen,Sammi Chen,president,DEC 31,Deloitte & Touche,Amy Lee,Frida N. Kuo,"5 F., No. 1, Songzhi Rd., Xinyi Dist., Taipei City Taipei, Taiwan (R.O.C.)",0227911826,0227911756,info@dvbiomed.com,http://www.dvbiomed.com,－,－,－,－
Emerging Stocks,6543,"PERFECT MEDICAL INDUSTRY CO., LTD.",－,Biotechnology and Medical Care,PF,2019/03/27,Hsu Kuo Chi,"CHEN, HUNG-JEN",YEH YA TUNG,Accounting Director,DEC 31,Ernst & Young Global Limited,HUANG YU-TING,LUO WEN-ZHEN,"NO. 100, Xingong 1st Rd. Beidou Township, Changhua County, Taiwan",04-8887998,04-8877313,emily@pwuhui.com.tw,http://www.perfectmedical.com.tw,－,－,－,－
Emerging Stocks,6549,"TaiwanJ Pharmaceuticals Co., Ltd.",－,Biotechnology and Medical Care,TaiwanJ,2015/10/21,Ying Chu Shih,Rich Yuan,Rich Yuan,General Manager,DEC 31,Deloitte Touche Tohmatsu Limite,Green C.Wu,Welson Fang,"Rm.4,3F, No.6-1, Sec. 2, Shengyi Rd., Zhubei City, Hsinchu County 302, Taiwan",03-6587721,03-6587787,info@taiwanj.com,http://taiwanj.com,－,－,－,－
Emerging Stocks,6555,"Long Time Technology Co., Ltd.",－,Electronic Parts/Components,LT,2016/01/25,"Wu,YI-Tsuo","Yen,Wen-Chun","Yen,Wen-Chun",Executive Vice President,DEC 31,Pricewaterhouse Coopers Taiwan,"HSU,CHIEH-JU","WU,JEN-CHIEH","6F., No.237, Sec. 1, Datong Rd. Xizhi Dist., New Taipei City, Taiwan",02-26903311,02-26903322,lt88@lttech.com.tw,www.lttech.com.tw,－,－,－,－
Emerging Stocks,6559,High Power Lighting Corp,－,Optoelectronic,HPL,2015/12/15,Charles Wei,Charles Wei,Charles Wei,President,DEC 31,KPMG,"Horng, Shyh-Gang","Fu, Hung-Wen","2F, No.173-8, Yung-Fong Road,Tu Cheng Dist New Taipei City 236, Taiwan, ROC",02-82628886,02-82628885,hplir@hplighting.com.tw,www.hplighting.com.tw,－,－,－,－
Emerging Stocks,6563,Image Match Design Inc.,－,Semiconductor,iMD,2025/03/10,HUANG WEN CHUAN,HUANG WEN CHUAN,HUANG WEN CHUAN,General Manager,DEC 31,PricewaterhouseCoopers Taiwan,Cheng-Han Chiang,Daniel Lee,"No.200, Zhuangjing 5th St., Zhubei City, Hsinchu County 302, Taiwan",03-5506818,03-5506808,info@imagematch.com.tw,www.imagematch.com.tw,－,－,－,－
Emerging Stocks,6564,Enimmune corporation,－,Biotechnology and Medical Care,ENIM,2018/09/18,Chung-Cheng Liu,Vic Chang,Pinky Li,Director,DEC 31,PricewaterhouseCoopers Taiwan,Liu Mei-Lan,Jason Hsu,"18F.-2, No. 76, Sec. 2, Dunhua S. Rd., Da’an Dist., Taipei City Taiwan (R.O.C.)",02-27001216,02-27063121,stock@enimmune.com.tw,www.enimmune.com.tw,－,－,－,－
Emerging Stocks,6565,"ThroughTek Co., Ltd",－,Digital and Cloud Services,TUTK,2017/01/18,Patrick Kuo,Patrick Kuo,Patrick Kuo,President & General manager,DEC 31,KPMG,"CHEN,PEI-CHI","HSU, MING-FANG","9F, No.364,Sec.1, Nangang Rd., Nangang Dist. Taiwan Taipei",(02)2653-5111,(02)2653-5112,IR@tutk.com,http://www.throughtek.com.tw,－,－,－,－
Emerging Stocks,6572,"PlexBio Co.,Ltd.",－,Biotechnology and Medical Care,PlexBio,2016/02/26,Dean Tsao,Dean Tsao,Lipi Yeh,CFO,DEC 31,PricewaterhouseCoopers Taiwan,"Yen, Yu-Fang","Huang, Pei-Chuan","6F-1,No.351,Yangguang St., Neihu Dist., Taipei City,11491.Taiwan",26275878,26275979,marketing@plexbio.com,www.plexbio.com/tw/,－,－,－,－
